Time,Lon,Lat,Alt,MAC,Signal,ID,Channel
03/12/2017 09:00,35.209740245618306,32.103260453223626,703.9055825016047,1c:b9:c4:96:f1:57,-82, ,52
03/12/2017 08:39,35.21207188,32.10578181,690.5323471,1c:b9:c4:16:cd:1c,-88,Ariel_University,36
03/12/2017 08:39,35.21138727,32.10614939,688.8993666,00:1a:dd:f4:ef:c4,-87, ,1
03/12/2017 08:41,35.20930544,32.10204841,690.6637923,1c:b9:c4:95:3a:37,-87, ,44
03/12/2017 08:39,35.21106968,32.10608928,688.7624378,00:1a:dd:f4:ef:c5,-81,Afikim_Wifi,1
03/12/2017 08:37,35.20757686,32.1026346,692.0341048,cc:fa:00:ae:93:46,-86,bezek freeee,6
03/12/2017 09:03,35.2098071823292,32.10348809727732,699.2249391764587,c0:4a:00:71:ee:ee,-81,Onicom,9
03/12/2017 08:41,35.20942539198074,32.10405974208484,705.4863232337568,00:27:22:f3:bb:2b,-85, ,6
03/12/2017 08:45,35.20959776,32.10447804,687.0,70:5a:0f:57:42:43,-75,DIRECT-42-HP DeskJet 3830 series,11
03/12/2017 08:46,35.209089104123656,32.102144788255025,689.2517761994259,1c:b9:c4:16:f1:4c,-84,Ariel_University,36
03/12/2017 08:53,35.20979911,32.10465583,721.9074686000001,90:6c:ac:a0:7b:55,-73,EVE,52
03/12/2017 08:39,35.21187488,32.10533815,692.0554072,1c:b9:c4:15:3a:2c,-92,Ariel_University,36
03/12/2017 08:57,35.20921578,32.10312597,696.5,c0:bd:d1:d5:8c:55,-80,AndroidAP,6
03/12/2017 08:45,35.20999833428048,32.1047321261192,694.966256654836,b2:6c:ac:a0:7b:4d,-63,magneto,11
03/12/2017 09:03,35.209677670844734,32.10298166861612,699.3847452726126,1c:b9:c4:95:ec:37,-79, ,36
03/12/2017 09:09,35.20996483188758,32.10301675257821,694.3706763983566,1c:b9:c4:14:2c:3c,-75,Ariel_University,52
03/12/2017 08:42,35.20992069028521,32.10259715930852,696.4473308717597,1c:b9:c4:16:ee:9c,-85,Ariel_University,36
03/12/2017 08:50,35.20888730480682,32.10463137338773,690.5715158626814,ec:8c:a2:26:d2:c8,-90,Ariel_University,11
03/12/2017 08:40,35.21025667,32.10493192,692.7030959,1c:b9:c4:15:34:b8,-92,Ariel_University,6
03/12/2017 08:53,35.20944049357651,32.10444130191467,719.69992894069,24:79:2a:ac:5b:d7,-82, ,36
03/12/2017 08:45,35.21068038217124,32.105011147645655,697.5475606811012,1c:b9:c4:14:30:08,-81,Ariel_University,1
03/12/2017 08:38,35.207895368273604,32.103921779528584,690.2937519216671,ec:8c:a2:88:7b:87,-76, ,40
03/12/2017 08:37,35.207760400995475,32.10321891841629,690.8382411624433,ec:8c:a2:09:0c:cc,-80,Ariel_University,44
03/12/2017 08:41,35.20927747,32.10436268,692.9954485,58:70:c6:fb:68:7a,-88,YICarCam_fb687a,5
03/12/2017 08:39,35.211693099540014,32.10534576371486,691.3431389219876,1c:b9:c4:15:fd:e8,-82,IT-MNG,11
03/12/2017 08:41,35.20916332300924,32.104041740686284,691.4550620641022,34:8f:27:20:89:b8,-78,Ariel_University,6
03/12/2017 09:04,35.21021632809159,32.10322749479845,693.9243746625878,1c:b9:c4:16:ee:98,-73,Ariel_University,6
03/12/2017 09:05,35.20975078060045,32.1033618375449,700.4082398297394,1c:b9:c4:15:ed:b8,-82,IT-MNG,1
03/12/2017 08:39,35.2105515372934,32.10596257203692,688.682501700329,00:1a:dd:f4:ef:04,-76,PEPWAVE_9481,1
03/12/2017 08:39,35.211859884756414,32.105337115983424,691.9964341015791,1c:b9:c4:15:fd:ec,-76,Ariel_University,40
03/12/2017 08:45,35.208747552617076,32.10318312125033,698.13215315879,1c:b9:c4:12:7c:c8,-65,Ariel_University,11
03/12/2017 08:46,35.20938173019013,32.10372953719322,705.7432982800342,1c:b9:c4:95:fd:47,-87, ,36
03/12/2017 08:44,35.21121997029554,32.10519175807336,703.6200349461581,1c:b9:c4:15:36:9c,-82,Ariel_University,36
03/12/2017 08:53,35.20981364614866,32.10467817311063,708.5120395077961,b2:6c:ac:a0:7b:55,-73,magneto,52
03/12/2017 08:57,35.20929375497552,32.10366632378877,689.799384339594,a2:6c:ac:a0:18:29,-75,artsim,6
03/12/2017 09:03,35.20995770538881,32.103342611885125,698.4074362151175,1c:b9:c4:14:2b:88,-72,Ariel_University,11
