MAC, ,myLon,myLat,myAlt, , ,DiffLon,DiffLat,DiffAlt, , ,Lon,Lat,Alt
00:1d:aa:81:d8:3c, ,35.20978332241179,32.10285315404422,703.7357989588476, , ,2.4117881025631505E-9,4.044217405407835E-9,4.115247520530829E-8, , ,35.20978332,32.10285315,703.735799
10:be:f5:39:8f:f2, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
e8:94:f6:d5:98:86, ,35.21001902,32.10225656,692.0, , ,0.0,0.0,0.0, , ,35.21001902,32.10225656,692
a2:6c:ac:a0:7b:4d, ,35.2098852395774,32.104677607563346,695.6775622377878, , ,9.873957740325068E-5,5.16375633452526E-5,0.036170262212181115, , ,35.2097865,32.10462597,695.7137325
58:70:c6:fb:96:30, ,35.21000489,32.10473133,687.0, , ,0.0,0.0,0.0, , ,35.21000489,32.10473133,687
90:8d:78:54:6b:4d, ,35.20980756595432,32.104603746264274,701.4256799663947, , ,4.045681123443501E-9,3.73572817125023E-9,3.360537448315881E-8, , ,35.20980757,32.10460375,701.42568
a0:8c:fd:8c:c5:b2, ,35.2111867,32.10497406,696.0, , ,0.0,0.0,0.0, , ,35.2111867,32.10497406,696
14:ae:db:3a:64:05, ,35.2073457,32.10252819,700.1622739, , ,0.0,0.0,0.0, , ,35.2073457,32.10252819,700.1622739
a0:ab:1b:59:55:54, ,35.20734901,32.10251814,698.9056862, , ,0.0,0.0,0.0, , ,35.20734901,32.10251814,698.9056862
7e:ff:30:08:7f:bd, ,35.208865,32.10241537,688.0, , ,0.0,0.0,0.0, , ,35.208865,32.10241537,688
00:1a:dd:f5:e9:25, ,35.21055454568366,32.105957707343514,688.6715462505874, , ,4.316341062349238E-9,2.6564848099042138E-9,5.058745955466293E-8, , ,35.21055455,32.10595771,688.6715462
00:1a:dd:f5:e9:24, ,35.21025745302324,32.10546046717562,689.4884991118435, , ,3.023238548394147E-9,2.824378952936968E-9,1.1843440006487072E-8, , ,35.21025745,32.10546047,689.4884991
a4:08:f5:20:72:6a, ,35.2076292,32.10286151,691.1036072, , ,0.0,0.0,0.0, , ,35.2076292,32.10286151,691.1036072
00:0e:f4:c1:50:14, ,35.20757686,32.1026346,692.0341048, , ,0.0,0.0,0.0, , ,35.20757686,32.1026346,692.0341048
c8:be:19:07:77:b9, ,35.21082446,32.10413713,704.7212452, , ,0.0,0.0,0.0, , ,35.21082446,32.10413713,704.7212452
74:ea:3a:ad:d1:50, ,35.209374476786834,32.103725180738365,690.0337546246034, , ,3.213166621662822E-9,7.383675892924657E-10,2.460342329868581E-8, , ,35.20937448,32.10372518,690.0337546
30:e1:71:0f:a2:49, ,35.20987677581591,32.10263817241183,693.8391299424324, , ,4.184094848369568E-9,2.411830735127296E-9,5.756760401709471E-8, , ,35.20987678,32.10263817,693.83913
00:27:19:13:fc:a4, ,35.21181344661473,32.105200955111236,694.518761713327, , ,3.3852742831186333E-9,5.1112394316987775E-9,1.3326939551916439E-8, , ,35.21181345,32.10520095,694.5187617
d0:bf:9c:db:31:30, ,35.209843676588626,32.10465458375801,695.986414273147, , ,3.411372517803102E-9,3.758010791443667E-9,2.6852944756683428E-8, , ,35.20984368,32.10465458,695.9864143
30:e1:71:0f:b2:6a, ,35.21118447,32.10497523,698.0, , ,0.0,0.0,0.0, , ,35.21118447,32.10497523,698
a0:4f:d4:3b:e9:01, ,35.2073457,32.10252819,700.1622739, , ,0.0,0.0,0.0, , ,35.2073457,32.10252819,700.1622739
